Amiens;745;170;
Bayonne;365;1092;
Bordeaux;454;897;
Bourges;741;577;
Caen;475;270;
Clermont-Ferrand;810;757;
Dijon;1017;540
Grenoble;1078;846
Le-Mans;529;444;
Lille;806;64
Lyon;1011;744
Marseille;1048;1110
Metz;1125;277
Montpellier;906;1056
Nantes;338;548
Nice;1212;1069
Niort;461;666
Paris;745;320
Reims;902;254
Rennes;328;418
Strasbourg;1284;348
Toulouse;662;1054
Tours;574;502
